break_angle,min_break_mass,merge_angle,debounce_ms,jaccard_threshold,break_method,angle_map,tp,fp,fn,total_errors,precision,recall,f1,n_bounds,n_markers
45,0.75,25,100,0.25,hybrid,dissonance,70,27,46,73,72.2,60.3,65.73,97,116
35,0.75,5,100,0.25,hybrid_split,dissonance,76,33,40,73,69.7,65.5,67.56,109,116
35,0.75,15,100,0.25,hybrid_split,dissonance,80,37,36,73,68.4,69.0,68.67,117,116
65,0.75,5,75,0.375,hybrid,dissonance,83,40,33,73,67.5,71.6,69.46,123,116
35,0.5,20,100,0.25,hybrid,dissonance,86,43,30,73,66.7,74.1,70.2,129,116
55,0.75,5,75,0.375,hybrid,dissonance,87,44,29,73,66.4,75.0,70.45,131,116
55,0.75,20,10,0.375,hybrid,dissonance,93,50,23,73,65.0,80.2,71.81,143,116
55,0.75,20,10,0.375,hybrid_split,dissonance,93,50,23,73,65.0,80.2,71.81,143,116
55,0.75,20,25,0.375,hybrid,dissonance,93,50,23,73,65.0,80.2,71.81,143,116
55,0.75,20,25,0.375,hybrid_split,dissonance,93,50,23,73,65.0,80.2,71.81,143,116
55,0.75,20,50,0.375,hybrid,dissonance,93,50,23,73,65.0,80.2,71.81,143,116
55,0.75,20,50,0.375,hybrid_split,dissonance,93,50,23,73,65.0,80.2,71.81,143,116
25,0.75,30,75,0.125,hybrid,dissonance,97,54,19,73,64.2,83.6,72.66,151,116
45,0.75,30,75,0.5,hybrid,dissonance,102,59,14,73,63.4,87.9,73.65,161,116
15,0.75,20,100,0.5,hybrid_split,dissonance,103,60,13,73,63.2,88.8,73.84,163,116
25,0.75,30,75,0.5,hybrid,dissonance,108,65,8,73,62.4,93.1,74.74,173,116
15,0.75,10,150,0.125,hybrid,dissonance,58,16,58,74,78.4,50.0,61.05,74,116
55,0.75,20,150,0.5,hybrid,dissonance,58,16,58,74,78.4,50.0,61.05,74,116
55,0.75,30,150,0.5,hybrid,dissonance,58,16,58,74,78.4,50.0,61.05,74,116
65,0.75,20,150,0.5,hybrid,dissonance,58,16,58,74,78.4,50.0,61.05,74,116
